ender-io;181;677063;enderioconduitsappliedenergistics,enderiointegrationforestry,enderioconduitsopencomputers,enderioconduitsrefinedstorage,enderioendergy,enderiobase,enderioconduits,enderiointegrationticlate,enderiomachines,enderiopowertools,enderiointegrationtic,enderio,EnderIO;末影接口;Ender IO;EIO
;184;171103;LevelStorage;等级存储;LevelStorage;
electrodynamics;185;;electrodynamics;电动力学;Electrodynamics;
mc-1-6-4-solar-apocalypse;186;;genuine-ea;Elite Armageddon;;
mekanism;187;654082;Mekanism,mekanism;通用机械;Mekanism;Mek
;188;;;吹熄火焰！;Blow Me!;
;189;;Somnia;梦短人生长/真实睡眠;Somnia;
;19;;minechem;化学;MineChem;CH
magic-crusade-rpg-mod;190;;;魔法远征:魔法十字军;Magic Crusade;
invasions;191;;Invasion,mod_Invasion;入侵;Invasion;
;192;;battlegear2;挖矿与砍杀:双持与战备2;Mine & Blade: Battlegear 2;
;193;;;青蛙化工;FrogCraft;FC
galacticraft-legacy;194;802464;GalacticraftCore,galacticraftplanets,GalacticraftMars,galacticraftcore;星系;GalactiCraft;GC
;195;455048;dungeonpack;地牢拓展;DungeonPack;
;196;287210;LittleBlocks;小方块;Little Blocks;
;197;;CustomStuff2;自定义物品2;Custom Stuff 2;CS2
journeymap;198;612917;JourneyMapServer,journeymap;旅行地图;Journey Map;JM
;199;;;线程优化;TickThreading;
industrial-craft;2;515771;IC2,ic2;工业时代2;Industrial Craft 2;IC2
iron-chests;20;372723;IronChest,ironchest;更多箱子;Iron Chests;
underground-biomes;201;;;科学地质;Underground Biomes;UB
fpsplus-lagfixes;202;;fpsplus;FPS优化;FPS Plus;
;203;;arsmagica2;魔法艺术2;Ars Magica 2;AM2
thaumcraft;204;776706;Thaumcraft;神秘时代4;Thaumcraft 4;TC4
;205;;Highlands;高地;Highlands;
doggy-talents;206;713458;doggytalents;小狗天才;Doggy Talents;DT
;207;;plasmacraft;电浆工艺;PlasmaCraft;PC
;208;;;更多生命;More Health ENHANCED;
fossils;209;856874;HungerOverhaul;考古与化石;Fossils and Archeology Revival;F/A
balkons-weaponmod;21;;weaponmod;更多武器;Balkon's WeaponMod;BWM
glenns-gases;210;;gasesFrameworkCore,gasesFramework,gases;格林的气体;Glenn's Gases;
the-lord-of-the-rings-mod-legacy;211;1084629;lotr;魔戒：传承;The Lord of the Rings Mod: Legacy;LotR
thaumic-tinkerer;212;;ThaumicTinkerer,ThaumicTinkerer-preloader,thaumictinkerer;神秘工匠;Thaumic Tinkerer;TT
;213;;Paleocraft;古生代;Paleocraft;
metallurgy;214;;;冶金3;MetallurgyIII;
xycraft;216;;xycraft;XyCraft;;
chococraft;217;;chococraft;陆行鸟;ChocoCraft;
pams-harvestcraft;218;669856;harvestcraft;潘马斯农场;Pam's HarvestCraft;PHC
blood-magic;219;1425356;AWWayofTime,bloodmagic;血魔法;Blood Magic;BM
advanced-machines;22;;AdvancedMachines,advanced_machines;高级机械;AdvancedMachines;
opis;220;;Opis;Opis;;
;221;169093;;世界树/巨树;Yggdrasill;
openblocks;222;;OpenBlocks,openblocks;开放式方块;OpenBlocks;OB
;223;;TinyCarts;微型矿车;TinyCarts;
;225;;;冒险;AdventureCraft;AC
;226;;MITE;MC实在是太简单了;Minecraft Is Too Easy;MITE
randomcraft-v0-1-0;227;;RandomCraft;随机工艺;RandomCraft;
;228;;DragonMounts;龙坐骑/龙骑士;Dragon Mounts;DM
;229;;animalbikes;动物坐骑;Animal Bikes;AB
advanced-solar-panels;23;;AdvancedSolarPanel,advanced_solar_panels;高级太阳能;Advanced Solar Panels;ASP
;230;165454;BetterGrassAndLeavesMod;更好的草地和树叶;Better Grass & Leaves;
electro-magic-tools;232;;EMT;电力魔法工具;Electro-Magic Tools;EMT
;233;;ForbiddenMagic;禁忌魔法;Forbidden Magic;FM
mobtalker2;234;193844;mobtalker2;怪物交谈2;MobTalker 2;
icbm-classic;235;;;洲际导弹;ICBM;ICBM
thaumic-infusion?gameCategorySlug=mc-mods&projectID=220308;236;;thaumicinfusion;神秘注魔;Thaumic Infusion;TI
thaumic-exploration;237;;ThaumicExploration;神秘探险;Thaumic Exploration;TX
;238;825992;deconstruction;解构工作台;Deconstruction Table;
nuclear-control-2;24;;IC2NuclearControl;核电控制2;Nuclear Control 2;IC2NC
;240;;magmamod;岩浆工具;The Magma Items;
b0bgarys-growable-ores;241;;B0bGrowsOre;可生长矿石;B0bGary's Growable Ores;BGO
;242;168625;;基础ID修复工具;Idfix;
;243;168625;;高级ID修复工具;IdfixMinus;
;244;296056;;远陆时代2;Far Land Era2;FLE2
;245;;CompactEngine;高效率引擎;Compact Engine;
waila;246;592847;Waila,waila;高亮信息拓展;What am I looking at;Waila
;247;;Chaos_Technology;混沌工艺;ChaosCraft;CC
;248;;;矿物追踪;Scenter;
;249;401486;otaku_craft;御宅工艺;Otaku Craft;OtC
;25;;;魔法艺术;Ars Magica;AM
;250;195925;exnihilo;无中生有;Ex Nihilo;ExN
reactorcraft;251;;ReactorCraft;反应堆工艺;ReactorCraft;ReC
bctools;252;;BCTools;BC扩展：更多工具;Buildcraft Tools;
additional-buildcraft-objects;253;;;更多管道;Additional Buildcraft Objects;
;254;;foundry;金属工坊;Foundry;
gravitation-suite;255;734193;GraviSuite,gravisuite;重力装甲;Gravitation Suite;
redstone-arsenal;256;;redstonearsenal,RedstoneArsenal;红石兵工厂;Redstone Arsenal;RSA
big-reactors;257;348989;BigReactors;大型反应堆;Big Reactors;BR
;258;;;谐振感应;Resonant-Induction;RI
endertanks;259;;endertanks;末影水槽;Ender Tanks;
better-dungeons;26;418940;chocolateQuest;更好的地牢/寻找巧克力;Better Dungeons / Chocolate Quest;
applied-energistics-2;260;798231;appliedenergistics2,appliedenergistics2-core,ae2;应用能源2;Applied Energistics 2;AE2
;261;;HopperDuctMod,hopperducts;漏斗管道;Hopper Ducts;
autofish;262;630098;autofish;自动钓鱼;Autofish;
wr-cbe-universal;264;621428;WR-CBE,WR-CBE|Logic,WR-CBE|Addons,WR-CBE|Core,wrcbe;无线红石;Wireless Redstone;WR-CBE
;265;218536;;终极农业;Agent's Agriculture;
;266;;;异次元物品存储;Extradimensional Item Storage;EIS
per-fabrica-ad-astra-geologica;267;;PFAAGeologica;自合成至星辰：真实地理;Per Fabrica Ad Astra: Geologica;PFAA
;268;;;更好的矿物挖掘;Better Mining;BM
redstone-furnace;269;;;红石炉;Redstone Furnace;
pneumaticcraft;270;;PneumaticCraft,PneumaticCrap,pneumaticcraft;气动工艺;PneumaticCraft: Repressurized;PnC
;271;;;能源转换器;Transducers;
thirst-mod;272;78952;thirstmod;饮水;Thirst Mod;
;273;;tubes;管道;Tubes;
pchan3-steamship-steamboat-pirates;274;;pchan3;飞艇与汽船;SteamShip - SteamBoat and Pirates;PChan3
;275;;powersuits;模块化动力装甲扩展;Modular Powersuits Addons;MPSA
betterfarming;276;81870;;农业增强;Better Farming;
;277;;AdvancedTools;IC扩展：高级工具;Advanced Tools;
lots-of-food;278;73013;LotsOfFood;更多食物;Lots Of Food;
;279;275168;FoodPlus;食物Plus;Food Plus;
aquaculture;281;1359313;aquaculture;水产业2/水产品2;Aquaculture 2;
;282;;;高级工作台;Project Bench;
;283;;extendedWorkbench;扩展工作台;Extended Workbench;
apples-plus;284;;apples;更多苹果;Apples+;
;285;165727;;啤酒;Beer Mod;
;286;;qCraft;量子物理;QCraft;QC
